Unit Number,Customer Unit Number,Customer Name,Unit Type,VIN Number,Model Year,Vehicle Make,Vehicle Model,Submodel,Eng Make,Eng Model,Eng SN,Aftertreatment Number,Oil Type,Oil Capacity,ATF,Front Brake Type,Rear Brake Type,DPF Number,SCR Number,Centrifugal,Oil Filter,Fuel Filter,Fuel/Water Seperator,Cabin Air Filter,Engine Air Filter,DEF Filter,Dryer Cartridge,Wiper Blade Length,Steer Tires, Additional Tires,Drive Tires,Static Axle Make,Static Axle P/N,Lift Axle Make,Lift Axle P/N,Liftgate Make,Liftgate Model,Liftgate SN,Liftgate Capacity,Liftgate Power/Gravity Down,Reefer Make,Reefer Model,Reefer SN,Reefer Oil Filter,Reefer Fuel Filter,Reefer Second Fuel Filter,Reefer Air Filter,Reefer Belt1,Reefer Belt2,Reefer Belt3,Reefer Belt4,APU Make,APU Model,APU SN,APU Oil Filter,APU Fuel Filter,APU Air Filter,Body Manufacturer,Body Style,Body S/N,Door Manufacturer,Door S/N
139406,Customer Unit Number,Star Transport LLC,FSL,1XPCD49XXMD744193,2021,Peterbilt,567,,Cummins,X15,80264855,A062R615,,,,,,,,,LF14000NNFLG:FG,FF5825NNFLG:FG,FS19764FLG:FG,SR2000092:PB,P621725:DF,,,"22""",295/75R22.5,,295/75R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139453,,"Wasatch Tank Lines, LLC",FSL,1XPBDP9X6ND782499,2022,Peterbilt,579,,Paccar,MX13-17,Y250118,A062R476,,,,,,,,1922496PE:PB,2234788PE:PB,2277129PE:PB,FS19765FLG:FG,SR2000092:PB,P621725:DF,,,"22""",445/50R22.5,,275/80R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139454,,"Wasatch Tank Lines, LLC",FSL,1XPBDP9X9ND782500,2022,Peterbilt,579,,Paccar,MX13-17,Y250122,A062R476,,,,,,,,1922496PE:PB,2234788PE:PB,2277129PE:PB,FS19765FLG:FG,SR2000092:PB,P621725:DF,,,"22""",445/50R22.5,,275/80R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149730,Spare,,Service Truck,1FD8W3HT0FEA64824,2015,Ford,F350,,Ford,6.7L,,,,,,,,,,,MU2Z6731C:FRD,BC3Z9N184B:FRD,,,BC3Z9601A:FRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149793,,"Colorado Eagle, LLC",FSL,2XP2AJ8X3JM457871,2018,Peterbilt,337,,Cummins,ISL,74089331,A052T991,,,,,,,,,LF14009NNFLG:FG,FF63054NNFLG:FG,FS1003FLG:FG,5X013817:R29,RS2863JAB:BF,,,"16""",295/75R22.5,,295/75R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149794,,"Colorado Eagle, LLC",FSL,2XP2AJ8X5JM457872,2018,Peterbilt,337,,Cummins,ISL,74089340,A052T991,,,,,,,,,LF14009NNFLG:FG,FF63054NNFLG:FG,FS1003FLG:FG,5X013817:R29,RS2863JAB:BF,,,"16""",295/75R22.5,,295/75R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149795,,"Colorado Eagle, LLC",FSL,1XPBDP9X2JD457875,2018,Peterbilt,579,,Paccar,MX13-17,Y129679,A052U920,,,,,,,,1922496PE:PB,2234788PE:PB,2277129PE:PB,FS19765FLG:FG,SR2000092:PB,P621725:DF,,,"22""",295/75R22.5,,295/75R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149800,,"Colorado Eagle, LLC",FSL,1GDE4E1183F514075,2003,GMC,C4500,,,,,,,,,,,,,,B1441JAB:BF,BF46062JAB:BF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149802,,"Colorado Eagle, LLC",CM,526114424D1000164,2013,Hackney,Trailer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149803,,"Colorado Eagle, LLC",CM,526113217H1000234,2017,Hackney,Trailer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
